time,cwnd_mss
3.480,45.65
3.480,45.65
3.480,45.65
3.480,45.65
3.480,45.65
3.521,75.96
3.563,53.17
3.601,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.602,54.17
3.603,54.17
3.603,54.17
3.603,54.17
3.603,54.17
3.603,54.17
3.603,54.17
3.604,54.17
3.604,54.17
3.604,54.17
3.604,54.17
3.605,54.17
3.605,54.17
3.605,54.17
3.605,54.17
3.605,54.17
3.605,54.17
3.605,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.606,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.607,54.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.642,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.643,55.17
3.644,55.17
3.644,55.17
3.644,55.17
3.644,55.17
3.645,55.17
3.645,55.17
3.645,55.17
3.645,55.17
3.645,55.17
3.645,55.17
3.645,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.646,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.647,55.17
3.648,55.17
3.682,56.17
3.682,56.17
3.682,56.17
3.682,56.17
3.682,56.17
3.682,56.17
3.682,56.17
3.682,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.683,56.17
3.684,56.17
3.684,56.17
3.684,56.17
3.684,56.17
3.684,56.17
3.684,56.17
3.684,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.685,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.686,56.17
3.687,56.17
3.687,56.17
3.687,56.17
3.687,56.17
3.687,56.17
3.727,94.32
3.805,66.02
3.807,67.02
3.807,67.02
3.807,67.02
3.807,67.02
3.807,67.02
3.807,67.02
3.807,67.02
3.808,67.02
3.808,67.02
3.808,67.02
3.808,67.02
3.808,67.02
3.808,67.02
3.809,67.02
3.809,67.02
3.809,67.02
3.809,67.02
3.809,67.02
3.809,67.02
3.810,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.811,67.02
3.853,46.92
3.887,47.92
3.887,47.92
3.887,47.92
3.887,47.92
3.887,47.92
3.887,47.92
3.887,47.92
3.888,47.92
3.888,47.92
3.888,47.92
3.929,74.54
4.009,95.18
4.053,122.62
4.133,138.84
4.176,131.18
4.257,187.83
4.301,194.48
4.681,57.00
4.724,39.90
4.764,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.765,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.766,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.767,40.90
4.768,40.90
4.768,40.90
4.768,40.90
4.768,40.90
4.805,41.90
4.805,41.90
4.805,41.90
4.805,41.90
4.805,41.90
4.805,41.90
4.805,41.90
4.805,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.806,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.807,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.808,41.90
4.809,41.90
4.809,41.90
4.809,41.90
4.809,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.846,41.90
4.847,41.90
4.847,41.90
4.847,41.90
4.847,41.90
4.847,41.90
4.888,29.33
4.893,30.33
4.893,30.33
4.893,30.33
4.893,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.894,30.33
4.927,30.33
4.927,30.33
4.927,30.33
4.927,30.33
4.927,30.33
4.927,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.928,30.33
4.934,30.33
4.934,30.33
4.934,30.33
4.934,30.33
4.935,30.33
4.935,30.33
4.935,30.33
4.935,30.33
4.935,30.33
4.935,30.33
4.935,30.33
4.936,30.33
4.936,30.33
4.936,30.33
4.968,31.33
4.968,31.33
