2025-11-05 04:23:55 - DEBUG - RECV: Data seq=57820 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=59000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=60180 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=59000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=61360 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=59000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=62540 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=59000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=63720 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=59000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=59000 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=64900 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=64900 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=66080 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=66080 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=67260 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=67260 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=68440 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=68440 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=69620 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=69620 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=70800 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=70800 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=71980 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=71980 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=73160 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=73160 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=74340 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=74340 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=75520 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=75520 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=76700 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=76700 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=77880 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=77880 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=79060 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=79060 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=80240 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=80240 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=81420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=81420 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=82600 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=82600 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=83780 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=83780 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=84960 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=86140 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=84960 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=87320 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=84960 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=89680 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=84960 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=84960 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=88500 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=86140, SEND: ACK seq=88500
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=87320, SEND: ACK seq=88500
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=88500 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=90860 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=89680, SEND: ACK seq=90860
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=90860 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=92040 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=92040 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=93220 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=93220 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=94400 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=94400 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=95580 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=95580 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=96760 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=97940 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=96760 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=99120 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=96760 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=100300 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=96760 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=101480 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=96760 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=96760 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=102660 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=97940, SEND: ACK seq=102660
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=99120, SEND: ACK seq=102660
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=102660 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=103840 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=103840 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=105020 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=105020 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=106200 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=106200 size=1180 bytes
