Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=99.000 ssthresh=inf last_max=1.000 ack=115640 acked=1180
[ACK_SLOW_START] cwnd=100.000 ssthresh=inf last_max=1.000 ack=116820 acked=1180
[ACK_SLOW_START] cwnd=101.000 ssthresh=inf last_max=1.000 ack=118000 acked=1180
[ACK_SLOW_START] cwnd=102.000 ssthresh=inf last_max=1.000 ack=119180 acked=1180
[ACK_SLOW_START] cwnd=103.000 ssthresh=inf last_max=1.000 ack=120360 acked=1180
[ACK_SLOW_START] cwnd=104.000 ssthresh=inf last_max=1.000 ack=121540 acked=1180
[ACK_SLOW_START] cwnd=105.000 ssthresh=inf last_max=1.000 ack=122720 acked=1180
[ACK_SLOW_START] cwnd=106.000 ssthresh=inf last_max=1.000 ack=123900 acked=1180
[ACK_SLOW_START] cwnd=107.000 ssthresh=inf last_max=1.000 ack=125080 acked=1180
[ACK_SLOW_START] cwnd=108.000 ssthresh=inf last_max=1.000 ack=126260 acked=1180
[ACK_SLOW_START] cwnd=109.000 ssthresh=inf last_max=1.000 ack=127440 acked=1180
[ACK_SLOW_START] cwnd=110.000 ssthresh=inf last_max=1.000 ack=128620 acked=1180
[ACK_SLOW_START] cwnd=111.000 ssthresh=inf last_max=1.000 ack=129800 acked=1180
[ACK_SLOW_START] cwnd=112.000 ssthresh=inf last_max=1.000 ack=130980 acked=1180
[ACK_SLOW_START] cwnd=113.000 ssthresh=inf last_max=1.000 ack=132160 acked=1180
[ACK_SLOW_START] cwnd=114.000 ssthresh=inf last_max=1.000 ack=133340 acked=1180
[ACK_SLOW_START] cwnd=115.000 ssthresh=inf last_max=1.000 ack=134520 acked=1180
[ACK_SLOW_START] cwnd=116.000 ssthresh=inf last_max=1.000 ack=135700 acked=1180
[ACK_SLOW_START] cwnd=117.000 ssthresh=inf last_max=1.000 ack=136880 acked=1180
[ACK_SLOW_START] cwnd=118.000 ssthresh=inf last_max=1.000 ack=138060 acked=1180
[ACK_SLOW_START] cwnd=119.000 ssthresh=inf last_max=1.000 ack=139240 acked=1180
[ACK_SLOW_START] cwnd=120.000 ssthresh=inf last_max=1.000 ack=140420 acked=1180
[ACK_SLOW_START] cwnd=121.000 ssthresh=inf last_max=1.000 ack=141600 acked=1180
[ACK_SLOW_START] cwnd=122.000 ssthresh=inf last_max=1.000 ack=142780 acked=1180
[ACK_SLOW_START] cwnd=123.000 ssthresh=inf last_max=1.000 ack=143960 acked=1180
[ACK_SLOW_START] cwnd=124.000 ssthresh=inf last_max=1.000 ack=145140 acked=1180
[ACK_SLOW_START] cwnd=125.000 ssthresh=inf last_max=1.000 ack=146320 acked=1180
[ACK_SLOW_START] cwnd=126.000 ssthresh=inf last_max=1.000 ack=147500 acked=1180
[ACK_SLOW_START] cwnd=127.000 ssthresh=inf last_max=1.000 ack=148680 acked=1180
[ACK_SLOW_START] cwnd=128.000 ssthresh=inf last_max=1.000 ack=149860 acked=1180
[ACK_SLOW_START] cwnd=129.000 ssthresh=inf last_max=1.000 ack=151040 acked=1180
[ACK_SLOW_START] cwnd=130.000 ssthresh=inf last_max=1.000 ack=152220 acked=1180
[ACK_SLOW_START] cwnd=131.000 ssthresh=inf last_max=1.000 ack=153400 acked=1180
